Date,_cached_page_id,_template,_type,url,Text
['2017-10-06 00:00:00'],11ca63dedea3225ded56c8f022bde9497cc20c5c,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-new-fall-fragrances-2015,
['2017-05-25 00:00:00'],f8321b6a5bff1d3f06b046b7d805c0486b550bc6,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/growing-up-on-welfare-shaped-beauty-career,
['2017-05-26 00:00:00'],bfdf39562513cdf98193aa7e6189e489619fc640,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/dr-pimple-popper-pop-lipoma-womans-back,
['2017-12-28 00:00:00'],f9b2838bc2e5bd6496420ae13c140e9ec20d2d6a,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-retinoids-under-30,
['2018-04-10 00:00:00'],55aca8690a2720548396cf9b71e5eb7f6d954f11,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/ten-heat-protectants-under-20,
['2018-01-04 00:00:00'],4457440eea1b01cc2f94431c8afbdb0ba775db1c,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/lip-liner-tattoo,
['2017-03-26 00:00:00'],2f58c2001431c214b12747278bc58e9df148d226,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/adult-cystic-acne-accutane,
['2017-10-18 00:00:00'],95d7123be92e0977b7737f688db5caeea136110d,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/smashbox-cosmetics-50-percent-off-sale-macys,
['2018-02-10 00:00:00'],9a1372219d09b46a765b85285ac832325ac7ec66,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/dad-cuts-daughters-hair-punishment-highlights,
['2018-03-02 00:00:00'],735f0894db0dce3c29defa4820769bc798227afc,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/weird-haircut-challenges-beauty-standards,
['2017-11-03 00:00:00'],3c6ce72a60d2fed51cdcb8b6cc0e2f04a58dc9cf,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/retinoids-topical-steroids-irritation-study,
['2016-10-04 00:00:00'],a004d05c442fbcfa77a04898ccfd3bd21db5fe03,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/allure-editors-acne-treatments?mbid_relatedlink=&intcid=inline_amp,
['2017-10-23 00:00:00'],25c1bfbdc5cfb9f6355c45660fa04038d36f9f85,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/viral-glass-skin-skin-care-routine,
['2017-11-17 00:00:00'],ab62b9d63cdaa047b0a7acaa61879023cdfbdb56,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/comedian-cat-cohen-weird-beauty-products-reviews,
['2018-01-16 00:00:00'],2817681ba7afc7777a30af509eed9264fb096d5f,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/bad-sex-sexual-assault-rape-culture,
['2017-09-12 00:00:00'],07c47105530606a00b62fb23410c2f393ed2fdeb,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/how-to-get-glass-skin-korean-beauty,
['2018-01-27 00:00:00'],07b1b4b5c8bd8f0eeb86b1565fa5a58387d90a4e,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/beauty-bakerie-inclusive-makeup-brand?intcid=inline_amp,
['2018-03-05 00:00:00'],1f71e40f78c318d699c82c83a7839b79694fa570,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/taking-selfies-distort-nose-image-study,
['2018-02-05 00:00:00'],4e92ddc0cf9ee0415cbc984d4c70b6b41a2cd303,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/kylie-cosmetics-posie-k-anniversary-lip-trio-launch,
['2017-04-24 00:00:00'],7bed21cc9a4c9c47e4ce0c797d4c3178ee39fce4,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/stealthing-removing-condom-without-partners-consent-sexual-assault,
['2018-04-03 00:00:00'],4aa25c16ba15870b73324275222675cd37da2057,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/bliss-skin-care-products-relaunch-target,
['2016-07-29 00:00:00'],8ee54cebf883d814d7b9043ad003b9e68c95ede7,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/julep-launching-in-store-at-ulta,
['2018-01-07 00:00:00'],d0b94900729522feb51b9b949dc2ac2810688787,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/golden-globes-redheads-red-lipstick-trend,
['2017-12-03 00:00:00'],5e0d639233345937d5dcbec4a754fcceed89aeba,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/colourpop-stocking-stuffer-set,
,0d746fb20d90d839aecfc58f4de444f7c2ed0340,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/box-braids-hair-inspiration,"[""Frayed Ends Leave it to wunderkind Amandla Stenberg to put her own twist on classic box braids. For a unique look, take a page from her book and pull out the ends of your box braids for a cool crimped effect. You can even opt for braiding hair in a bright or pastel hue if you're feeling daring. facebook dialog Pinterest Davina /Instagram Box Braid Bob Long, flowy braids are cute, but sometimes they can get a bit too heavy. Davina of The London Curls makes a case for the iconic face-framing box braid bob style. They're incredibly easy to maintain, won't weigh down your hair, and serve a really cute '90s vibe at the same time. facebook dialog Pinterest Candace /Instagram Spunky Space Buns Have a bit of fun with these quirky space buns à la Scary Spice from the internationally popular girl group, Spice Girls. Candance, otherwise known as Naturally Candance on the interwebs made the popular style her own by incorporating three buns instead of two, and letting some of her hair down in the back.""]"
