"","Date","word"
"321",2017-09-05,"oil"
"322",2017-09-05,"oil"
"323",2017-09-05,"oil"
"324",2017-09-05,"oil"
"325",2017-09-05,"oil"
"326",2017-09-05,"cotton"
"327",2017-09-05,"cotton"
"328",2017-09-05,"american"
"329",2017-09-05,"american"
"330",2017-09-05,"american"
"331",2017-09-05,"american"
"332",2017-09-05,"american"
"333",2017-09-05,"powder"
"334",2017-09-05,"powder"
"335",2017-09-05,"extract"
"336",2017-09-05,"extract"
"337",2017-09-05,"extract"
"338",2017-09-05,"extract"
"339",2017-09-05,"water"
"340",2017-09-05,"water"
"341",2017-09-05,"water"
"342",2017-09-05,"water"
"343",2017-09-05,"water"
"344",2017-09-05,"water"
"345",2017-09-05,"water"
"346",2017-09-05,"water"
"347",2017-09-05,"root"
"348",2017-09-05,"root"
"349",2017-09-05,"root"
"350",2017-09-05,"root"
"351",2017-09-05,"root"
"352",2017-09-05,"root"
"353",2017-09-05,"root"
"354",2017-09-05,"root"
"355",2017-09-05,"root"
"356",2017-09-05,"root"
"357",2017-09-05,"root"
"358",2017-09-05,"oil"
"359",2017-09-05,"oil"
"360",2017-09-05,"oil"
"361",2017-09-05,"oil"
"362",2017-09-05,"oil"
"363",2017-09-05,"oil"
"364",2017-09-05,"oil"
"365",2017-09-05,"oil"
"366",2017-09-05,"oil"
"367",2017-09-05,"oil"
"368",2017-09-05,"oil"
"369",2017-09-05,"oil"
"370",2017-09-05,"oil"
"371",2017-09-05,"oil"
"372",2017-09-05,"oil"
"373",2017-09-05,"oil"
"374",2017-09-05,"oil"
"375",2017-09-05,"seed"
"376",2017-09-05,"seed"
"377",2017-09-05,"seed"
"378",2017-09-05,"seed"
"379",2017-09-05,"seed"
"380",2017-09-05,"seed"
"381",2017-09-05,"seed"
"382",2017-09-05,"seed"
"383",2017-09-05,"seed"
"384",2017-09-05,"oil"
"385",2017-09-05,"oil"
"386",2017-09-05,"oil"
"387",2017-09-05,"oil"
"388",2017-09-05,"oil"
"389",2017-09-05,"oil"
"390",2017-09-05,"oil"
"391",2017-09-05,"oil"
"392",2017-09-05,"oil"
"393",2017-09-05,"oil"
"394",2017-09-05,"oil"
"395",2017-09-05,"oil"
"396",2017-09-05,"oil"
"397",2017-09-05,"oil"
"398",2017-09-05,"oil"
"399",2017-09-05,"oil"
"400",2017-09-05,"oil"
"401",2017-09-05,"moringa"
"402",2017-09-05,"seed"
"403",2017-09-05,"seed"
"404",2017-09-05,"seed"
"405",2017-09-05,"seed"
"406",2017-09-05,"seed"
"407",2017-09-05,"seed"
"408",2017-09-05,"seed"
"409",2017-09-05,"seed"
"410",2017-09-05,"seed"
"411",2017-09-05,"oil"
"412",2017-09-05,"oil"
"413",2017-09-05,"oil"
"414",2017-09-05,"oil"
"415",2017-09-05,"oil"
"416",2017-09-05,"oil"
"417",2017-09-05,"oil"
"418",2017-09-05,"oil"
"419",2017-09-05,"oil"
"420",2017-09-05,"oil"
"421",2017-09-05,"oil"
"422",2017-09-05,"oil"
"423",2017-09-05,"oil"
